margYMTH,n,landing,coverage
BDG,12,0,0
BRG,401,1535,0.451371571072319
CRS,60,0,0.15
ERK,459,4703,0.226579520697168
MNT,163,0,0.306748466257669
MRO,164,0,0.432926829268293
OSF,36,0,0.305555555555556
HKL,124,0,0.540322580645161
NET,14,0,0.357142857142857
TWL,1157,6238,0.305963699222126
1978,124,0,0.120967741935484
1979,102,1535,0.235294117647059
1980,271,0,0.564575645756458
1981,237,0,0.253164556962025
1982,249,0,0.397590361445783
1983,312,4703,0.240384615384615
Q1,228,0,0.206140350877193
Q2,390,0,0.428205128205128
Q3,437,4703,0.249427917620137
Q4,240,1535,0.429166666666667
