margSPKL,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,945,0.947368421052632
MRO,77,30039,0.948051948051948
OSF,63,0,1
HKL,1,0,1
NET,8,904,0.75
TWL,236,30080,0.970338983050847
1978,57,945,0.947368421052632
1980,61,0,1
1981,42,30039,0.904761904761905
1982,50,0,0.96
1983,18,0,1
1984,6,0,1
1985,11,0,1
Q1,55,9729,0.963636363636364
Q2,86,415,0.988372093023256
Q3,59,20840,0.932203389830508
Q4,45,0,0.955555555555556
