margCLPR,n,landing,coverage
BDG,9,160601,0.555555555555556
BRG,326,5460561,0.493865030674847
CRS,50,18822,0.98
ERK,323,1278213,0.876160990712074
MNT,108,1573782,0.62037037037037
MRO,138,841860,0.753623188405797
OSF,29,837157,0.586206896551724
HKL,110,597138,0.8
NET,6,0,1
TWL,867,9573858,0.682814302191465
1978,124,1172492,0.653225806451613
1979,102,2327247,0.549019607843137
1980,271,2560887,0.678966789667897
1981,237,2252765,0.742616033755274
1982,249,1857605,0.759036144578313
Q1,162,2134234,0.685185185185185
Q2,289,2254890,0.754325259515571
Q3,340,3183438,0.688235294117647
Q4,192,2598434,0.640625
