margSLGR,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.812883435582822
CRS,50,0,0.98
ERK,323,1894,0.990712074303406
MNT,108,0,1
MRO,138,0,0.876811594202899
OSF,29,0,1
HKL,110,0,0.881818181818182
NET,6,0,1
TWL,867,1894,0.919261822376009
1978,124,0,0.814516129032258
1979,102,1894,0.941176470588235
1980,271,0,0.996309963099631
1981,237,0,0.789029535864979
1982,249,0,0.987951807228916
Q1,162,1894,0.919753086419753
Q2,289,0,0.996539792387543
Q3,340,0,0.902941176470588
Q4,192,0,0.8125
