marketCategory,year,qtr,gearGroup,portComplex,species,live,comLands
977,1981,2,NET,OSB,BRNZ,N,456
977,1980,4,HKL,OLA,GSPT,N,9916
206,1978,1,TWL,ERK,EGLS,N,167268
977,1980,4,TWL,OSB,CWCD,N,1711
195,1978,2,HKL,MNT,LCOD,N,2222
977,1978,3,TWL,OSB,VRML,N,2876
150,1980,2,NET,MRO,SHRK,N,1178
150,1980,4,NET,BDG,SHRK,N,4367
977,1980,4,NET,OSD,BYEL,N,9
230,1982,2,HKL,OSF,UFLT,N,13
225,1981,3,TWL,BRG,UDAB,N,2998
165,1981,3,NET,OSB,ASRK,N,34424
222,1980,2,HKL,MNT,CHLB,N,332
167,1979,3,HKL,OLA,SHRK,N,37172
956,1979,2,TWL,MRO,CNRY,N,3447
265,1979,2,FPT,ERK,URCK,N,403
250,1978,3,TWL,BDG,VRML,N,175
977,1982,1,TWL,OSB,GSPT,N,12516
250,1982,3,HKL,OSF,WDOW,N,50420
977,1980,3,HKL,OSB,BCAC,N,24218
250,1980,2,HKL,CRS,RDBD,N,1224
956,1980,2,HKL,MNT,WDOW,N,865
222,1981,3,NET,MNT,CHLB,N,19052
250,1978,2,HKL,MNT,LCOD,N,98
977,1979,1,HKL,OLA,BLGL,N,44789
660,1982,2,HKL,MNT,HNYC,N,100
977,1978,2,TWL,OSB,VRML,N,1402
267,1981,4,TWL,BDG,WDOW,N,621354
250,1981,2,HKL,OSF,DBRK,N,152
250,1980,1,TWL,BDG,CLPR,N,34553
250,1978,2,HKL,ERK,SNOS,N,34
262,1979,2,HKL,BRG,THDS,N,522
175,1981,1,FPT,ERK,USKT,N,2
977,1981,3,HKL,OSB,STAR,N,1751
250,1979,1,HKL,MRO,SPKL,N,973
208,1978,3,TWL,ERK,BSOL,N,1630
175,1978,2,NET,OSB,USKT,N,2362
435,1982,2,HKL,OSB,OCRK,N,520
977,1980,2,HKL,OLA,GBLC,N,8164
253,1978,3,NET,MNT,KLPG,N,160
977,1982,3,HKL,OSB,GRAS,N,30
250,1978,2,TWL,OSF,BANK,N,5999
195,1978,2,NET,MRO,LCOD,N,377
435,1980,2,NET,MRO,OCRK,N,11329
203,1978,4,TWL,OSF,RSOL,N,495
175,1982,4,TWL,MNT,USKT,N,20275
250,1979,1,FPT,OSF,URCK,N,1582
150,1980,4,NET,MNT,SHRK,N,3192
195,1980,4,FPT,OSF,LCOD,N,106
262,1982,4,TWL,OSF,SSPN,N,72148
250,1982,3,HKL,OSF,CLPR,N,43226
977,1978,1,TWL,OSB,CWCD,N,8245
977,1979,3,NET,OSB,YEYE,N,213
253,1981,4,TWL,BDG,WDOW,N,30
175,1982,4,NET,OSF,USKT,N,1074
261,1981,4,NET,OSB,CBZN,N,45
435,1981,4,HKL,OSF,OCRK,N,5477
252,1980,3,HKL,ERK,BLCK,N,22
250,1980,1,HKL,BDG,BCAC,N,298
250,1982,2,FPT,CRS,URCK,N,308
250,1979,4,HKL,MRO,YEYE,N,8207
250,1979,4,TWL,BRG,CLPR,N,523462
263,1982,2,HKL,MNT,GPHR,N,10502
175,1982,4,TWL,BDG,USKT,N,20
265,1981,1,HKL,MNT,CWCD,N,1259
977,1981,3,TWL,OSB,SNOS,N,445
250,1980,2,TWL,MNT,YTRK,N,32737
254,1978,3,HKL,MRO,CLPR,N,13970
203,1978,2,NET,MRO,RSOL,N,2
250,1978,1,HKL,CRS,POP,N,3
977,1979,2,TWL,OSB,BCAC,N,122587
225,1979,1,TWL,BDG,UDAB,N,9050
159,1978,4,TWL,ERK,SSRK,N,298
250,1981,2,HKL,ERK,CNRY,N,22460
250,1978,4,HKL,MNT,GSRK,N,344
651,1982,4,HKL,MRO,OLVE,N,30
977,1982,2,HKL,OLA,SPKL,N,4356
206,1979,3,TWL,BDG,EGLS,N,157502
250,1980,3,TWL,BRG,YTRK,N,4910
209,1978,4,TWL,MNT,PTRL,N,90401
265,1980,3,HKL,CRS,URCK,N,169
175,1980,2,TWL,CRS,USKT,N,1665
977,1980,2,HKL,OSB,BANK,N,1362
265,1978,4,HKL,MRO,SNOS,N,12434
240,1979,1,TWL,MRO,UFLT,N,2549
977,1979,1,TWL,OSB,FLAG,N,233
977,1979,4,NET,OSD,SNOS,N,13759
250,1980,4,NET,MRO,BRWN,N,108
977,1981,1,HKL,OSD,FLAG,N,38
977,1981,2,NET,OSD,ROSY,N,344
250,1980,3,TWL,ERK,POP,N,3065
207,1979,3,TWL,ERK,REX,N,350117
206,1982,4,NET,BDG,EGLS,N,9
207,1982,4,TWL,BRG,REX,N,51658
179,1980,2,NET,MNT,SHRK,N,370
222,1979,1,NET,MRO,CHLB,N,6944
153,1980,2,NET,BDG,LSRK,N,3729
977,1978,3,NET,OSD,LSPN,N,7
151,1979,3,FPT,OLA,SHRK,N,1320
200,1980,1,TWL,OSF,UFLT,N,547
190,1979,4,HKL,OSF,SABL,N,132303
250,1979,1,TWL,ERK,POP,N,60929
265,1978,3,HKL,BRG,URCK,N,530
977,1981,1,TWL,OSB,RCK6,N,1192
250,1982,2,HKL,BRG,YTRK,N,73
977,1978,2,NET,OSD,YEYE,N,22
271,1980,4,TWL,ERK,POP,N,1938
205,1980,4,HKL,MRO,SSOL,N,5
175,1980,3,TWL,OSF,USKT,N,1949
267,1978,3,NET,MRO,BRWN,N,31
250,1982,1,HKL,ERK,YTRK,N,3
977,1981,3,NET,OSB,BRWN,N,74
977,1981,3,HKL,OSB,GSPT,N,17213
250,1981,4,HKL,MRO,GSRK,N,34
250,1980,3,NET,MNT,BDRK,N,11
246,1981,3,NET,MRO,COPP,N,25
267,1981,4,NET,BRG,BRWN,N,2541
435,1981,4,NET,MNT,OCRK,N,83568
250,1979,1,FPT,BDG,URCK,N,15
195,1978,4,NET,BDG,LCOD,N,45
