marketCategory,year,qtr,gearGroup,portComplex,species,live,comLands
190,1989,2,HKL,MRO,SABL,N,4037
959,1989,3,TWL,CRS,BCAC,N,32
959,1990,4,NET,OSB,URCK,N,7992
956,1990,1,HKL,MNT,DBRK,N,23
250,1985,4,NET,MNT,YTRK,N,7693
250,1984,3,NET,OSD,BDRK,N,42
250,1985,3,TWL,BRG,BLCK,N,1147
956,1984,2,HKL,OLA,CWCD,N,2463
250,1983,4,HKL,ERK,BDRK,N,197
250,1986,1,NET,OSD,SNOS,N,58394
959,1985,1,NET,OLA,FLAG,N,680
190,1983,3,FPT,CRS,SABL,N,145465
959,1989,4,HKL,BRG,SLGR,N,216
959,1990,3,TWL,MRO,BANK,N,16090
959,1986,3,HKL,OSB,BRNZ,N,13910
250,1990,3,HKL,OLA,COPP,N,1188
250,1990,1,TWL,OSF,BANK,N,28485
959,1989,4,NET,MNT,CWCD,N,3991
667,1985,4,HKL,OLA,BCAC,N,14
262,1985,3,TWL,BDG,SSPN,N,1760
225,1986,1,NET,MNT,UDAB,N,1005
959,1985,4,TWL,BRG,CLPR,N,15256
252,1983,2,HKL,MRO,BLCK,N,252
960,1987,1,TWL,MNT,BANK,N,282
959,1985,2,TWL,OSF,BANK,N,215
209,1984,4,NET,MNT,PTRL,N,180
959,1986,4,TWL,BDG,ROSY,N,2
956,1985,4,TWL,MRO,GSRK,N,211
250,1986,3,HKL,OSF,CWCD,N,61
153,1984,2,NET,MRO,LSRK,N,1005
205,1984,1,TWL,OSF,SSOL,N,14367
204,1989,1,HKL,BRG,FNTS,N,1898
250,1989,2,TWL,MRO,BCAC,N,60023
153,1990,4,NET,MNT,LSRK,N,1132
957,1990,3,NET,BDG,URCK,N,120
957,1987,3,TWL,MRO,URCK,N,887
267,1988,4,TWL,OSB,BRWN,N,2930
250,1985,4,NET,BDG,YTRK,N,114
258,1990,4,HKL,CRS,CHNA,N,227
209,1990,1,TWL,CRS,PTRL,N,29216
959,1989,3,HKL,CRS,WDOW,N,2663
957,1987,1,NET,MNT,URCK,N,36
665,1987,4,HKL,MNT,BDRK,N,11412
956,1984,2,HKL,OSD,STAR,N,1
956,1985,4,NET,MNT,BANK,N,130105
250,1986,3,NET,OLA,BLGL,N,15411
195,1983,4,HKL,MNT,LCOD,N,1766
959,1984,4,NET,OSB,CWCD,N,899
959,1990,2,HKL,ERK,BANK,N,1140
245,1989,1,HKL,OSB,CWCD,N,791
250,1989,3,HKL,ERK,BRRK,N,68
957,1986,2,TWL,OSF,BRWN,N,3198
959,1985,2,TWL,OSB,CLPR,N,66
956,1987,1,NET,OLA,ARRA,N,47
959,1984,4,HKL,BRG,CWCD,N,1
151,1984,3,NET,MNT,SHRK,N,5987
250,1984,4,TWL,MNT,BCAC,N,88393
956,1990,2,HKL,MNT,BLCK,N,4
960,1989,2,HKL,BRG,BCAC,N,52
956,1989,1,HKL,BRG,YEYE,N,28
175,1989,1,HKL,OSF,USKT,N,742
240,1988,1,NET,OLA,UTRB,N,4
195,1987,3,NET,OSD,LCOD,N,434
155,1986,3,NET,OSB,SHRK,N,35983
959,1985,2,TWL,OSB,VRML,N,281
198,1986,1,TWL,CRS,GRDR,N,735
959,1989,2,TWL,BRG,CNRY,N,10114
250,1990,3,TWL,CRS,SNOS,N,5124
956,1989,4,NET,OSB,YTRK,N,31208
195,1990,4,NET,OSF,LCOD,N,7549
956,1990,2,HKL,MNT,SPKL,N,27
960,1989,1,NET,MNT,SNOS,N,10
956,1987,1,HKL,OSD,BCAC,N,1588
150,1985,1,NET,OSF,SHRK,N,1565
206,1988,4,NET,MNT,EGLS,N,598
250,1983,3,NET,OSF,BCAC,N,49796
200,1988,3,HKL,MRO,UFLT,N,12
959,1987,4,HKL,CRS,ROSY,N,25
667,1988,2,HKL,OSD,BLGL,N,3462
269,1984,3,NET,OSD,WDOW,N,10
250,1990,4,HKL,OLA,GSRK,N,1486
250,1985,2,NET,MRO,CLPR,N,6910
258,1985,1,HKL,OSF,CHNA,N,71
977,1983,3,HKL,OSB,GSRK,N,1221
250,1983,1,NET,MNT,CLPR,N,24662
204,1984,4,HKL,BDG,FNTS,N,3436
959,1990,3,HKL,ERK,BCAC,N,4218
959,1990,3,HKL,BDG,ROSY,N,842
225,1989,4,HKL,MRO,UDAB,N,58
651,1989,3,HKL,MRO,OLVE,N,39
959,1990,1,HKL,OSB,GSRK,N,1310
203,1987,4,TWL,BRG,RSOL,N,2725
956,1986,3,NET,MRO,BANK,N,14891
959,1985,1,HKL,MRO,CLPR,N,30760
959,1986,2,HKL,BRG,PRRK,N,11
959,1985,3,TWL,BDG,CLPR,N,56963
250,1990,2,HKL,BRG,YTRK,N,44818
222,1990,1,TWL,ERK,CHLB,N,2331
959,1989,4,HKL,OSD,SPKL,N,198
956,1988,4,HKL,MRO,WDOW,N,529
204,1988,1,TWL,OSF,FNTS,N,3687
260,1986,4,TWL,OSF,SCOR,N,111
206,1986,1,NET,MNT,EGLS,N,219
150,1987,1,HKL,ERK,SHRK,N,35
225,1985,1,HKL,MNT,UDAB,N,205
252,1983,4,HKL,MNT,BLCK,N,6
159,1983,2,TWL,ERK,SSRK,N,238
269,1983,2,HKL,MNT,WDOW,N,262
960,1989,2,TWL,BRG,SNOS,N,1397
250,1990,2,NET,MNT,CLPR,N,45629
154,1990,2,TWL,OSB,SHRK,N,88
247,1989,4,HKL,MNT,CNRY,N,10
959,1988,2,HKL,OSF,CLPR,N,2179
956,1984,1,NET,OLA,SNOS,N,106
956,1984,4,HKL,MNT,BANK,N,28
959,1988,3,HKL,OSD,BCAC,N,1603
153,1986,1,NET,OSF,LSRK,N,3978
956,1990,4,HKL,OSF,BCAC,N,9289
250,1990,2,NET,MNT,WDOW,N,21080
956,1990,4,TWL,OSF,BCAC,N,31384
195,1990,3,HKL,BRG,LCOD,N,49403
956,1984,1,TWL,BRG,CLPR,N,4687
250,1984,2,TWL,ERK,RDBD,N,15362
956,1986,1,HKL,OSB,BANK,N,3427
959,1983,3,HKL,BDG,MXRF,N,40
261,1990,4,NET,MRO,CBZN,N,360
230,1990,2,HKL,MRO,UFLT,N,176
256,1990,4,NET,OLA,STAR,N,622
960,1987,1,NET,MNT,URCK,N,666
201,1986,3,TWL,CRS,ARTH,N,1894
175,1988,4,TWL,MNT,USKT,N,8025
174,1988,4,TWL,MNT,SHRK,N,4
250,1984,1,NET,OSD,WDOW,N,2386
977,1983,3,NET,OSB,CLPR,N,226
167,1990,3,HKL,OSD,SHRK,N,2136
959,1985,4,TWL,BRG,WDOW,N,74950
960,1986,3,TWL,BDG,VRML,N,22
977,1983,3,NET,OSB,VRML,N,257
