"marginalROSY","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.417177914110429
"CRS",50,0,0.36
"ERK",323,0,0.606811145510836
"MNT",108,0,0.694444444444444
"MRO",138,321,0.681159420289855
"OSF",29,0,0.827586206896552
"HKL",110,321,0.627272727272727
"NET",6,0,0.166666666666667
"TWL",867,0,0.550173010380623
"1978",124,0,0.467741935483871
"1979",102,0,0.343137254901961
"1980",271,60,0.535055350553506
"1981",237,136,0.632911392405063
"1982",249,125,0.63855421686747
"Q1",162,125,0.635802469135803
"Q2",289,0,0.695501730103806
"Q3",340,60,0.423529411764706
"Q4",192,136,0.515625
