"marginalSPKL","n","landing","coverage"
"BRG",6,0,0.5
"MNT",88,945,0.875
"MRO",64,30039,0.796875
"OSF",52,0,1
"HKL",1,0,1
"NET",8,904,0.75
"TWL",201,30080,0.875621890547264
"1978",57,945,0.807017543859649
"1980",61,0,0.852459016393443
"1981",42,30039,0.880952380952381
"1982",50,0,0.96
"Q1",43,9729,0.953488372093023
"Q2",73,415,0.835616438356164
"Q3",54,20840,0.87037037037037
"Q4",40,0,0.85
