margHBRK,n,landing,coverage
BDG,31,0,0.032258064516129
BRG,420,0,0.3
CRS,73,0,0.0821917808219178
ERK,533,0,0.24765478424015
MNT,249,0,0.188755020080321
MRO,201,0,0.218905472636816
OSF,65,0,0.0153846153846154
HKL,128,0,0.1953125
NET,24,0,0.333333333333333
TWL,1420,0,0.228169014084507
1978,124,0,0.17741935483871
1979,102,0,0.274509803921569
1980,271,0,0.180811808118081
1981,237,0,0.308016877637131
1982,249,0,0.216867469879518
1983,312,0,0.291666666666667
1984,277,0,0.144404332129964
Q1,277,0,0.285198555956679
Q2,441,0,0.27891156462585
Q3,534,0,0.170411985018727
Q4,320,0,0.2
