margHBRK,n,landing,coverage
BDG,31,0,1
BRG,420,0,0.983333333333333
CRS,73,0,0.73972602739726
ERK,533,0,0.825515947467167
MNT,249,0,0.734939759036145
MRO,201,0,0.930348258706468
OSF,65,0,0.723076923076923
HKL,128,0,0.90625
NET,24,0,1
TWL,1420,0,0.855633802816901
1978,124,0,0.991935483870968
1979,102,0,1
1980,271,0,0.985239852398524
1981,237,0,1
1982,249,0,0.791164658634538
1983,312,0,0.740384615384615
1984,277,0,0.714801444043321
Q1,277,0,0.772563176895307
Q2,441,0,0.970521541950113
Q3,534,0,0.807116104868914
Q4,320,0,0.88125
