margPRRK,n,landing,coverage
BDG,31,0,0.419354838709677
BRG,420,0,0.20952380952381
CRS,73,0,0.356164383561644
ERK,533,0,0.273921200750469
MNT,249,0,0.293172690763052
MRO,201,0,0.238805970149254
OSF,65,0,0.323076923076923
HKL,128,0,0.1796875
NET,24,0,0
TWL,1420,0,0.276056338028169
1978,124,0,0.241935483870968
1979,102,0,0.313725490196078
1980,271,0,0.166051660516605
1981,237,0,0.493670886075949
1982,249,0,0.184738955823293
1983,312,0,0.179487179487179
1984,277,0,0.32129963898917
Q1,277,0,0.314079422382672
Q2,441,0,0.356009070294785
Q3,534,0,0.234082397003745
Q4,320,0,0.14375
