margRDBD,n,landing,coverage
BDG,9,0,1
BRG,326,58633,0.96319018404908
CRS,50,25892,0.96
ERK,323,273668,0.984520123839009
MNT,108,0,1
MRO,138,7743,0.985507246376812
OSF,29,0,1
HKL,110,7743,0.981818181818182
NET,6,0,1
TWL,867,358193,0.978085351787774
1978,124,19636,0.959677419354839
1979,102,15938,0.950980392156863
1980,271,48975,0.977859778597786
1981,237,264477,0.983122362869198
1982,249,16910,0.995983935742972
Q1,162,133253,0.993827160493827
Q2,289,61385,0.97923875432526
Q3,340,151536,0.973529411764706
Q4,192,19762,0.973958333333333
