"marginalCBZN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.914110429447853
"CRS",50,0,0.98
"ERK",323,0,0.987616099071207
"MNT",108,0,0.916666666666667
"MRO",138,125,0.971014492753623
"OSF",29,0,1
"HKL",110,125,0.963636363636364
"NET",6,0,1
"TWL",867,0,0.951557093425606
"1978",124,0,0.766129032258065
"1979",102,125,0.990196078431373
"1980",271,0,1
"1981",237,0,0.970464135021097
"1982",249,0,0.963855421686747
"Q1",162,0,0.993827160493827
"Q2",289,125,0.986159169550173
"Q3",340,0,0.917647058823529
"Q4",192,0,0.932291666666667
