margKLPG,n,landing,coverage
BRG,6,0,0
MNT,88,337,0.363636363636364
MRO,64,0,0.234375
OSF,52,0,0.442307692307692
HKL,1,0,1
NET,8,337,0.875
TWL,201,0,0.308457711442786
1978,57,337,0.43859649122807
1980,61,0,0.39344262295082
1981,42,0,0.380952380952381
1982,50,0,0.1
Q1,43,0,0.232558139534884
Q2,73,337,0.328767123287671
Q3,54,0,0.425925925925926
Q4,40,0,0.325
