"marginalCBZN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.97239263803681
"CRS",50,0,0.96
"ERK",323,0,0.913312693498452
"MNT",108,0,0.981481481481482
"MRO",138,125,0.927536231884058
"OSF",29,0,0.862068965517241
"HKL",110,125,0.909090909090909
"NET",6,0,1
"TWL",867,0,0.948096885813149
"1978",124,0,0.975806451612903
"1979",102,125,0.92156862745098
"1980",271,0,0.985239852398524
"1981",237,0,0.881856540084388
"1982",249,0,0.951807228915663
"Q1",162,0,0.969135802469136
"Q2",289,125,0.996539792387543
"Q3",340,0,0.873529411764706
"Q4",192,0,0.96875
