"marginalCBZN","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.131901840490798
"CRS",50,0,0.1
"ERK",323,0,0.402476780185758
"MNT",108,0,0.481481481481481
"MRO",138,125,0.217391304347826
"OSF",29,0,0.137931034482759
"HKL",110,125,0.154545454545455
"NET",6,0,0
"TWL",867,0,0.289504036908881
"1978",124,0,0.032258064516129
"1979",102,125,0
"1980",271,0,0.302583025830258
"1981",237,0,0.206751054852321
"1982",249,0,0.534136546184739
"Q1",162,0,0.314814814814815
"Q2",289,125,0.207612456747405
"Q3",340,0,0.288235294117647
"Q4",192,0,0.307291666666667
