"marginalBCAC","n","landing","coverage"
"BRG",6,172242,0.333333333333333
"MNT",88,4143365,0.238636363636364
"MRO",64,2733460,0.3125
"OSF",52,3117359,0.173076923076923
"HKL",1,0,1
"NET",8,145083,0.625
"TWL",201,10021343,0.228855721393035
"1978",57,1853861,0.228070175438596
"1980",61,4271945,0.278688524590164
"1981",42,2050399,0.30952380952381
"1982",50,1990221,0.18
"Q1",43,1875136,0.162790697674419
"Q2",73,3784254,0.205479452054795
"Q3",54,2761660,0.259259259259259
"Q4",40,1745376,0.4
