margBCAC,n,landing,coverage
BDG,9,689945,0.333333333333333
BRG,326,4401338,0.665644171779141
CRS,50,570089,0.86
ERK,323,2934116,0.74922600619195
MNT,108,2426405,0.574074074074074
MRO,138,1605793,0.528985507246377
OSF,29,1665847,0.413793103448276
HKL,110,906394,0.627272727272727
NET,6,20053,0.666666666666667
TWL,867,13367086,0.667820069204152
1978,124,1320166,0.620967741935484
1979,102,1408999,0.696078431372549
1980,271,2700181,0.723247232472325
1981,237,5193394,0.679324894514768
1982,249,3670793,0.590361445783133
Q1,162,3371850,0.685185185185185
Q2,289,3877067,0.678200692041522
Q3,340,4274305,0.626470588235294
Q4,192,2770311,0.6875
