"marginalREDS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,4464,0.634969325153374
"CRS",50,0,0.38
"ERK",323,4155,0.569659442724458
"MNT",108,0,0.648148148148148
"MRO",138,0,0.72463768115942
"OSF",29,0,0.793103448275862
"HKL",110,0,0.836363636363636
"NET",6,0,0.333333333333333
"TWL",867,8619,0.597462514417532
"1978",124,0,0.798387096774194
"1979",102,0,0.862745098039216
"1980",271,3996,0.468634686346863
"1981",237,468,0.582278481012658
"1982",249,4155,0.642570281124498
"Q1",162,468,0.839506172839506
"Q2",289,7030,0.619377162629758
"Q3",340,0,0.352941176470588
"Q4",192,1121,0.921875
