margOLVE,n,landing,coverage
BRG,6,0,1
MNT,88,20334,0.965909090909091
MRO,64,0,1
OSF,52,0,1
HKL,1,0,1
NET,8,17170,0.75
TWL,201,3164,0.995024875621891
1978,57,17170,0.964912280701754
1980,61,0,1
1981,42,0,1
1982,50,3164,0.98
Q1,43,0,1
Q2,73,17170,0.972602739726027
Q3,54,0,1
Q4,40,3164,0.975
