margPNKR,n,landing,coverage
BDG,12,0,0.0833333333333333
BRG,401,0,0.468827930174564
CRS,60,0,0.366666666666667
ERK,459,0,0.246187363834423
MNT,163,0,0.368098159509202
MRO,164,0,0.274390243902439
OSF,36,0,0.472222222222222
HKL,124,0,0.258064516129032
NET,14,0,0.5
TWL,1157,0,0.351771823681936
1978,124,0,0.508064516129032
1979,102,0,0.352941176470588
1980,271,0,0.571955719557196
1981,237,0,0.333333333333333
1982,249,0,0.325301204819277
1983,312,0,0.102564102564103
Q1,228,0,0.425438596491228
Q2,390,0,0.307692307692308
Q3,437,0,0.366132723112128
Q4,240,0,0.2875
