"marginalFLAG","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.978527607361963
"CRS",50,1522,0.96
"ERK",323,293,0.947368421052632
"MNT",108,0,0.990740740740741
"MRO",138,2013,0.963768115942029
"OSF",29,0,1
"HKL",110,1682,0.954545454545455
"NET",6,0,1
"TWL",867,2146,0.968858131487889
"1978",124,0,0.991935483870968
"1979",102,0,0.774509803921569
"1980",271,331,0.996309963099631
"1981",237,1742,0.983122362869198
"1982",249,1755,0.987951807228916
"Q1",162,526,0.944444444444444
"Q2",289,1522,0.937716262975779
"Q3",340,599,0.994117647058824
"Q4",192,1181,0.984375
