margRSTN,n,landing,coverage
BDG,12,0,0.833333333333333
BRG,401,1338,0.668329177057357
CRS,60,157,0.766666666666667
ERK,459,4922,0.699346405228758
MNT,163,0,0.588957055214724
MRO,164,0,0.707317073170732
OSF,36,0,0.805555555555556
HKL,124,0,0.733870967741935
NET,14,0,0.214285714285714
TWL,1157,6417,0.684528954191876
1978,124,47,0.395161290322581
1979,102,244,0.549019607843137
1980,271,0,0.904059040590406
1981,237,0,0.789029535864979
1982,249,1495,0.546184738955823
1983,312,4631,0.682692307692308
Q1,228,62,0.557017543859649
Q2,390,5344,0.753846153846154
Q3,437,1011,0.606407322654462
Q4,240,0,0.833333333333333
