margSBLY,n,landing,coverage
BDG,9,6313,0.777777777777778
BRG,326,387,0.52760736196319
CRS,50,0,0.42
ERK,323,0,0.73374613003096
MNT,108,900,0.481481481481481
MRO,138,0,0.398550724637681
OSF,29,0,0.275862068965517
HKL,110,0,0.418181818181818
NET,6,0,0
TWL,867,7600,0.583621683967705
1978,124,387,0.524193548387097
1979,102,0,0.588235294117647
1980,271,0,0.568265682656827
1981,237,0,0.40506329113924
1982,249,7213,0.710843373493976
Q1,162,0,0.462962962962963
Q2,289,6588,0.615916955017301
Q3,340,112,0.608823529411765
Q4,192,900,0.479166666666667
