"marginalGRAS","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.196319018404908
"CRS",50,0,0.1
"ERK",323,1251,0.198142414860681
"MNT",108,0,0.305555555555556
"MRO",138,0,0.253623188405797
"OSF",29,0,0.0689655172413793
"HKL",110,0,0.254545454545455
"NET",6,0,0.5
"TWL",867,1251,0.202998846597463
"1978",124,0,0.290322580645161
"1979",102,0,0.264705882352941
"1980",271,0,0.206642066420664
"1981",237,0,0.151898734177215
"1982",249,1251,0.208835341365462
"Q1",162,0,0.253086419753086
"Q2",289,1251,0.332179930795848
"Q3",340,0,0.147058823529412
"Q4",192,0,0.104166666666667
