margROSY,n,landing,coverage
BDG,31,0,1
BRG,420,0,1
CRS,73,0,1
ERK,533,0,0.981238273921201
MNT,249,0,1
MRO,201,321,0.980099502487562
OSF,65,0,1
HKL,128,321,0.96875
NET,24,0,1
TWL,1420,0,0.992957746478873
1978,124,0,1
1979,102,0,0.901960784313726
1980,271,60,0.996309963099631
1981,237,136,0.991561181434599
1982,249,125,0.995983935742972
1983,312,0,1
1984,277,0,1
Q1,277,125,0.996389891696751
Q2,441,0,1
Q3,534,60,0.97940074906367
Q4,320,136,0.99375
