margROSY,n,landing,coverage
BDG,31,0,0.258064516129032
BRG,420,0,0.371428571428571
CRS,73,0,0.520547945205479
ERK,533,0,0.302063789868668
MNT,249,0,0.72289156626506
MRO,201,321,0.368159203980099
OSF,65,0,0.276923076923077
HKL,128,321,0.3984375
NET,24,0,0.375
TWL,1420,0,0.404929577464789
1978,124,0,0.419354838709677
1979,102,0,0.264705882352941
1980,271,60,0.273062730627306
1981,237,136,0.270042194092827
1982,249,125,0.309236947791165
1983,312,0,0.576923076923077
1984,277,0,0.581227436823105
Q1,277,125,0.465703971119134
Q2,441,0,0.485260770975057
Q3,534,60,0.363295880149813
Q4,320,136,0.30625
