"marginalOLVE","n","landing","coverage"
"BRG",6,0,1
"MNT",88,20334,0.715909090909091
"MRO",64,0,0.859375
"OSF",52,0,1
"HKL",1,0,1
"NET",8,17170,0.5
"TWL",201,3164,0.850746268656716
"1978",57,17170,0.736842105263158
"1980",61,0,0.918032786885246
"1981",42,0,1
"1982",50,3164,0.72
"Q1",43,0,0.744186046511628
"Q2",73,17170,0.945205479452055
"Q3",54,0,0.666666666666667
"Q4",40,3164,0.975
