"marginalEGLS","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.315950920245399
"CRS",50,0,0.52
"ERK",323,0,0.541795665634675
"MNT",108,1398,0.268518518518519
"MRO",138,0,0.144927536231884
"OSF",29,0,0.482758620689655
"HKL",110,0,0.181818181818182
"NET",6,0,0.166666666666667
"TWL",867,1398,0.399077277970012
"1978",124,0,0.258064516129032
"1979",102,0,0.166666666666667
"1980",271,1398,0.317343173431734
"1981",237,0,0.421940928270042
"1982",249,0,0.530120481927711
"Q1",162,0,0.265432098765432
"Q2",289,0,0.269896193771626
"Q3",340,1398,0.505882352941176
"Q4",192,0,0.385416666666667
