margVRML,n,landing,coverage
BRG,6,0,0.5
MNT,88,0,0.693181818181818
MRO,64,56066,0.9375
OSF,52,21191,0.384615384615385
HKL,1,9249,0
NET,8,0,1
TWL,201,68008,0.676616915422886
1978,57,0,0.578947368421053
1980,61,77257,0.770491803278688
1981,42,0,0.80952380952381
1982,50,0,0.6
Q1,43,18759,0.674418604651163
Q2,73,46817,0.863013698630137
Q3,54,11681,0.388888888888889
Q4,40,0,0.775
