"marginalREX","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.880368098159509
"CRS",50,0,1
"ERK",323,0,0.96594427244582
"MNT",108,0,0.712962962962963
"MRO",138,0,0.956521739130435
"OSF",29,3731,0.827586206896552
"HKL",110,0,0.945454545454545
"NET",6,0,1
"TWL",867,3731,0.90080738177624
"1978",124,0,0.983870967741935
"1979",102,0,0.666666666666667
"1980",271,0,0.81549815498155
"1981",237,0,1
"1982",249,3731,0.975903614457831
"Q1",162,0,0.969135802469136
"Q2",289,3731,0.944636678200692
"Q3",340,0,0.870588235294118
"Q4",192,0,0.859375
