"marginalREX","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.5
"CRS",50,0,0.54
"ERK",323,0,0.278637770897833
"MNT",108,0,0.305555555555556
"MRO",138,0,0.0797101449275362
"OSF",29,3731,0.241379310344828
"HKL",110,0,0.136363636363636
"NET",6,0,0.5
"TWL",867,3731,0.36562860438293
"1978",124,0,0.451612903225806
"1979",102,0,0.176470588235294
"1980",271,0,0.361623616236162
"1981",237,0,0.236286919831224
"1982",249,3731,0.429718875502008
"Q1",162,0,0.209876543209877
"Q2",289,3731,0.44636678200692
"Q3",340,0,0.264705882352941
"Q4",192,0,0.427083333333333
