margPNKR,n,landing,coverage
BRG,6,0,0.166666666666667
MNT,88,745,0.522727272727273
MRO,64,0,0.296875
OSF,52,0,0.711538461538462
HKL,1,0,0
NET,8,0,0.25
TWL,201,745,0.502487562189055
1978,57,745,0.456140350877193
1980,61,0,0.360655737704918
1981,42,0,0.357142857142857
1982,50,0,0.8
Q1,43,745,0.534883720930233
Q2,73,0,0.520547945205479
Q3,54,0,0.648148148148148
Q4,40,0,0.175
