margGSRK,n,landing,coverage
BDG,27,0,1
BRG,12,0,0.166666666666667
CRS,3,0,1
ERK,55,0,0.4
MNT,11,0,0.727272727272727
MRO,1,0,1
OSF,20,0,0
TWL,129,0,0.488372093023256
1981,37,0,0.540540540540541
1982,92,0,0.467391304347826
Q1,33,0,0.303030303030303
Q2,13,0,0
Q3,37,0,0.702702702702703
Q4,46,0,0.58695652173913
