margGBLC,n,landing,coverage
BRG,6,0,1
MNT,88,0,0.465909090909091
MRO,64,15254,0.953125
OSF,52,0,0.326923076923077
HKL,1,0,1
NET,8,0,0.75
TWL,201,15254,0.587064676616915
1978,57,0,0.701754385964912
1980,61,4068,0.573770491803279
1981,42,8019,0.761904761904762
1982,50,3167,0.36
Q1,43,3167,0.790697674418605
Q2,73,0,0.342465753424658
Q3,54,0,0.87037037037037
Q4,40,12087,0.475
