margKLPG,n,landing,coverage
BRG,6,0,1
MNT,88,337,0.806818181818182
MRO,64,0,0.578125
OSF,52,0,0.307692307692308
HKL,1,0,1
NET,8,337,0.875
TWL,201,0,0.606965174129353
1978,57,337,0.43859649122807
1980,61,0,0.80327868852459
1981,42,0,0.5
1982,50,0,0.7
Q1,43,0,0.488372093023256
Q2,73,337,0.753424657534247
Q3,54,0,0.722222222222222
Q4,40,0,0.375
