margCNRY,n,landing,coverage
BDG,9,66834,0.666666666666667
BRG,326,1975794,0.696319018404908
CRS,50,1398777,0.6
ERK,323,1577283,0.69969040247678
MNT,108,20852,0.962962962962963
MRO,138,100136,0.855072463768116
OSF,29,7637,0.862068965517241
HKL,110,132906,0.836363636363636
NET,6,0,1
TWL,867,5014407,0.735870818915802
1978,124,1259855,0.596774193548387
1979,102,626077,0.764705882352941
1980,271,615166,0.767527675276753
1981,237,1146147,0.784810126582278
1982,249,1500068,0.763052208835341
Q1,162,848186,0.808641975308642
Q2,289,1937730,0.726643598615917
Q3,340,1978133,0.694117647058824
Q4,192,383264,0.828125
