"marginalEGLS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.898773006134969
"CRS",50,0,0.98
"ERK",323,0,0.569659442724458
"MNT",108,1398,0.731481481481482
"MRO",138,0,0.731884057971015
"OSF",29,0,0.793103448275862
"HKL",110,0,0.909090909090909
"NET",6,0,0
"TWL",867,1398,0.735870818915802
"1978",124,0,0.967741935483871
"1979",102,0,0.813725490196078
"1980",271,1398,0.59409594095941
"1981",237,0,0.89873417721519
"1982",249,0,0.646586345381526
"Q1",162,0,0.962962962962963
"Q2",289,0,0.826989619377163
"Q3",340,1398,0.652941176470588
"Q4",192,0,0.630208333333333
