"marginalRSTN","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,1338,0.371165644171779
"CRS",50,157,0.6
"ERK",323,291,0.801857585139319
"MNT",108,0,0.62037037037037
"MRO",138,0,0.326086956521739
"OSF",29,0,0.310344827586207
"HKL",110,0,0.263636363636364
"NET",6,0,0.5
"TWL",867,1786,0.581314878892734
"1978",124,47,0.338709677419355
"1979",102,244,0.57843137254902
"1980",271,0,0.638376383763838
"1981",237,0,0.531645569620253
"1982",249,1495,0.546184738955823
"Q1",162,0,0.580246913580247
"Q2",289,1582,0.667820069204152
"Q3",340,204,0.402941176470588
"Q4",192,0,0.583333333333333
