margOLVE,n,landing,coverage
BRG,6,0,1
MNT,88,20334,0.761363636363636
MRO,64,0,0.96875
OSF,52,0,0.769230769230769
HKL,1,0,1
NET,8,17170,0.5
TWL,201,3164,0.845771144278607
1978,57,17170,0.543859649122807
1980,61,0,0.901639344262295
1981,42,0,1
1982,50,3164,0.94
Q1,43,0,0.86046511627907
Q2,73,17170,0.945205479452055
Q3,54,0,0.648148148148148
Q4,40,3164,0.85
