margSBLY,n,landing,coverage
BDG,12,6313,0.666666666666667
BRG,401,387,0.199501246882793
CRS,60,0,0.583333333333333
ERK,459,0,0.520697167755991
MNT,163,973,0.50920245398773
MRO,164,0,0.621951219512195
OSF,36,0,0.694444444444444
HKL,124,0,0.580645161290323
NET,14,0,0.571428571428571
TWL,1157,7673,0.42523768366465
1978,124,387,0.0967741935483871
1979,102,0,0.774509803921569
1980,271,0,0.40590405904059
1981,237,0,0.413502109704641
1982,249,7213,0.530120481927711
1983,312,73,0.451923076923077
Q1,228,0,0.539473684210526
Q2,390,6661,0.438461538461538
Q3,437,112,0.384439359267735
Q4,240,900,0.458333333333333
