margYMTH,n,landing,coverage
BDG,56,0,1
BRG,457,7648,0.99562363238512
CRS,82,0,1
ERK,594,44532,0.978114478114478
MNT,344,0,1
MRO,266,0,1
OSF,104,0,1
HKL,138,0,1
NET,47,0,1
TWL,1718,52180,0.991268917345751
1978,124,0,1
1979,102,1535,0.990196078431373
1980,271,0,1
1981,237,0,1
1982,249,0,1
1983,312,4703,0.993589743589744
1984,277,22623,0.985559566787004
1985,331,23319,0.97583081570997
Q1,339,6356,0.994100294985251
Q2,531,19070,0.988700564971751
Q3,645,12121,0.993798449612403
Q4,388,14633,0.992268041237113
