margYMTH,n,landing,coverage
BDG,56,0,0.660714285714286
BRG,457,7648,0.989059080962801
CRS,82,0,0.939024390243902
ERK,594,44532,0.868686868686869
MNT,344,0,0.927325581395349
MRO,266,0,0.894736842105263
OSF,104,0,0.865384615384615
HKL,138,0,0.942028985507246
NET,47,0,0.957446808510638
TWL,1718,52180,0.90454016298021
1978,124,0,0.911290322580645
1979,102,1535,0.970588235294118
1980,271,0,0.952029520295203
1981,237,0,0.932489451476793
1982,249,0,0.779116465863454
1983,312,4703,0.974358974358974
1984,277,22623,0.916967509025271
1985,331,23319,0.86404833836858
Q1,339,6356,0.914454277286136
Q2,531,19070,0.939736346516008
Q3,645,12121,0.88062015503876
Q4,388,14633,0.907216494845361
