margSSPN,n,landing,coverage
BDG,9,0,1
BRG,326,5376,0.889570552147239
CRS,50,0,1
ERK,323,250,0.95046439628483
MNT,108,1340,0.953703703703704
MRO,138,17160,0.956521739130435
OSF,29,1189,0.827586206896552
HKL,110,0,0.945454545454545
NET,6,0,1
TWL,867,25315,0.928489042675894
1978,124,250,0.758064516129032
1979,102,0,0.990196078431373
1980,271,6565,0.915129151291513
1981,237,0,0.970464135021097
1982,249,18500,0.971887550200803
Q1,162,1189,0.932098765432099
Q2,289,19275,0.934256055363322
Q3,340,4851,0.952941176470588
Q4,192,0,0.885416666666667
