margGSRK,n,landing,coverage
BDG,31,45713,1
BRG,420,251652,0.995238095238095
CRS,73,44950,0.972602739726027
ERK,533,44431,0.977485928705441
MNT,249,24840,0.987951807228916
MRO,201,1308,1
OSF,65,1013,1
HKL,128,2205,1
NET,24,0,1
TWL,1420,411702,0.986619718309859
1978,124,20436,0.983870967741935
1979,102,8874,0.980392156862745
1980,271,224858,0.985239852398524
1981,237,23860,0.9957805907173
1982,249,76650,0.991967871485944
1983,312,40309,0.974358974358974
1984,277,18920,1
Q1,277,212040,0.992779783393502
Q2,441,102210,0.988662131519274
Q3,534,62893,0.97752808988764
Q4,320,36764,1
