margBLCK,n,landing,coverage
BDG,9,0,0.666666666666667
BRG,326,1297,0.220858895705521
CRS,50,175058,0.2
ERK,323,1513311,0.278637770897833
MNT,108,0,0.518518518518518
MRO,138,66,0.601449275362319
OSF,29,0,0.310344827586207
HKL,110,115909,0.590909090909091
NET,6,0,0.833333333333333
TWL,867,1573823,0.295271049596309
1978,124,232338,0.467741935483871
1979,102,238,0.343137254901961
1980,271,103623,0.571955719557196
1981,237,984858,0.080168776371308
1982,249,368675,0.236947791164659
Q1,162,693623,0.271604938271605
Q2,289,307900,0.27681660899654
Q3,340,266950,0.5
Q4,192,421259,0.166666666666667
