"marginalBANK","n","landing","coverage"
"BRG",6,0,1
"MNT",88,1032123,0.863636363636364
"MRO",64,437580,0.921875
"OSF",52,43313,0.980769230769231
"HKL",1,0,1
"NET",8,0,1
"TWL",201,1513016,0.91044776119403
"1978",57,385011,0.929824561403509
"1980",61,5164,1
"1981",42,670022,0.880952380952381
"1982",50,452819,0.82
"Q1",43,70292,0.953488372093023
"Q2",73,379803,0.89041095890411
"Q3",54,503095,0.925925925925926
"Q4",40,559826,0.9
