margSHRP,n,landing,coverage
BDG,9,0,0.333333333333333
BRG,326,3698,0.50920245398773
CRS,50,0,0.14
ERK,323,0,0.25077399380805
MNT,108,0,0.037037037037037
MRO,138,0,0.289855072463768
OSF,29,0,0.206896551724138
HKL,110,0,0.2
NET,6,0,0
TWL,867,3698,0.328719723183391
1978,124,0,0.362903225806452
1979,102,3698,0.5
1980,271,0,0.380073800738007
1981,237,0,0.367088607594937
1982,249,0,0.0843373493975904
Q1,162,0,0.240740740740741
Q2,289,0,0.283737024221453
Q3,340,1139,0.391176470588235
Q4,192,2559,0.276041666666667
