"marginalBLCK","n","landing","coverage"
"BDG",27,0,0.666666666666667
"BRG",12,0,0.166666666666667
"CRS",3,0,1
"ERK",55,0,0.436363636363636
"MNT",11,0,0.909090909090909
"MRO",1,0,1
"OSF",20,0,0.75
"TWL",129,0,0.565891472868217
"1981",37,0,0.567567567567568
"1982",92,0,0.565217391304348
"Q1",33,0,1
"Q2",13,0,0.692307692307692
"Q3",37,0,0.243243243243243
"Q4",46,0,0.478260869565217
