margYMTH,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,1535,0.45398773006135
CRS,50,0,0.24
ERK,323,0,0.102167182662539
MNT,108,0,0.222222222222222
MRO,138,0,0.376811594202899
OSF,29,0,0.103448275862069
HKL,110,0,0.345454545454545
NET,6,0,0.833333333333333
TWL,867,1535,0.268742791234141
1978,124,0,0.379032258064516
1979,102,1535,0.411764705882353
1980,271,0,0.29520295202952
1981,237,0,0.274261603375527
1982,249,0,0.168674698795181
Q1,162,0,0.37037037037037
Q2,289,0,0.211072664359862
Q3,340,0,0.220588235294118
Q4,192,1535,0.416666666666667
