"marginalQLBK","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,232,0.325153374233129
"CRS",50,0,0.46
"ERK",323,0,0.102167182662539
"MNT",108,0,0.527777777777778
"MRO",138,0,0.333333333333333
"OSF",29,0,0.206896551724138
"HKL",110,0,0.290909090909091
"NET",6,0,0.333333333333333
"TWL",867,232,0.274509803921569
"1978",124,232,0.0483870967741935
"1979",102,0,0.00980392156862745
"1980",271,0,0.505535055350554
"1981",237,0,0.257383966244726
"1982",249,0,0.269076305220884
"Q1",162,232,0.148148148148148
"Q2",289,0,0.256055363321799
"Q3",340,0,0.332352941176471
"Q4",192,0,0.317708333333333
