"marginalSBLY","n","landing","coverage"
"BRG",6,0,1
"MNT",88,3173,0.909090909090909
"MRO",64,249,0.859375
"OSF",52,6694,0.961538461538462
"HKL",1,0,1
"NET",8,0,1
"TWL",201,10116,0.90547263681592
"1978",57,3106,0.929824561403509
"1980",61,6429,0.885245901639344
"1981",42,249,0.976190476190476
"1982",50,332,0.86
"Q1",43,698,0.953488372093023
"Q2",73,0,1
"Q3",54,332,0.87037037037037
"Q4",40,9086,0.75
