"marginalSWSP","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.993865030674847
"CRS",50,0,0.98
"ERK",323,0,0.860681114551084
"MNT",108,0,1
"MRO",138,0,0.811594202898551
"OSF",29,0,0.827586206896552
"HKL",110,0,0.772727272727273
"NET",6,0,1
"TWL",867,0,0.937716262975779
"1978",124,0,0.870967741935484
"1979",102,0,0.970588235294118
"1980",271,0,0.985239852398524
"1981",237,0,0.814345991561181
"1982",249,0,0.951807228915663
"Q1",162,0,0.932098765432099
"Q2",289,0,1
"Q3",340,0,0.864705882352941
"Q4",192,0,0.885416666666667
