margBANK,n,landing,coverage
BDG,56,1026932,0.714285714285714
BRG,457,1547212,0.964989059080963
CRS,82,4467,1
ERK,594,131857,1
MNT,344,1472719,0.892441860465116
MRO,266,607994,0.958646616541353
OSF,104,646295,0.913461538461538
HKL,138,105062,1
NET,47,121606,0.914893617021277
TWL,1718,5210808,0.950523864959255
1978,124,86843,0.991935483870968
1979,102,83366,1
1980,271,107956,1
1981,237,888719,0.957805907172996
1982,249,518271,0.983935742971888
1983,312,805131,0.967948717948718
1984,277,1753477,0.877256317689531
1985,331,1193713,0.909365558912387
Q1,339,1725759,0.926253687315634
Q2,531,1126289,0.973634651600753
Q3,645,1065553,0.955038759689922
Q4,388,1519875,0.945876288659794
