sampleNumber,clusterNumber,species,weight,year,qtr,portComplex,gearGroup,marketCategory,landingWeight,live
198101302,1,BCAC,13,1981,1,BRG,TWL,250,3905,N
198101302,1,CLPR,5,1981,1,BRG,TWL,250,3905,N
198101302,1,CNRY,17,1981,1,BRG,TWL,250,3905,N
198101302,1,DBRK,1,1981,1,BRG,TWL,250,3905,N
198101302,1,SNOS,6,1981,1,BRG,TWL,250,3905,N
198101302,1,YTRK,3,1981,1,BRG,TWL,250,3905,N
198101304,1,WDOW,14,1981,2,BRG,TWL,250,17365,N
198101305,1,BCAC,6,1981,2,BRG,TWL,250,4990,N
198101305,1,BLGL,10,1981,2,BRG,TWL,250,4990,N
198101305,1,CNRY,3,1981,2,BRG,TWL,250,4990,N
198101305,1,WDOW,5,1981,2,BRG,TWL,250,4990,N
198101305,1,YTRK,16,1981,2,BRG,TWL,250,4990,N
198101307,1,BCAC,4,1981,2,BRG,TWL,250,1265,N
198101307,1,CLPR,8,1981,2,BRG,TWL,250,1265,N
198101308,1,BANK,39,1981,2,BRG,TWL,250,35185,N
198101308,1,DBRK,5,1981,2,BRG,TWL,250,35185,N
198101308,1,SNOS,3,1981,2,BRG,TWL,250,35185,N
198101308,1,VRML,3,1981,2,BRG,TWL,250,35185,N
198101309,1,BCAC,30,1981,2,BRG,TWL,250,4370,N
198101309,1,CLPR,21,1981,2,BRG,TWL,250,4370,N
198101310,1,BCAC,3,1981,2,BRG,TWL,250,3095,N
198101310,1,CLPR,2,1981,2,BRG,TWL,250,3095,N
198101310,1,CNRY,1,1981,2,BRG,TWL,250,3095,N
198101310,1,DBRK,10,1981,2,BRG,TWL,250,3095,N
198101310,1,RDBD,30,1981,2,BRG,TWL,250,3095,N
198101310,1,SNOS,1,1981,2,BRG,TWL,250,3095,N
198101311,1,BCAC,9,1981,2,BRG,TWL,250,535,N
198101311,1,CLPR,22,1981,2,BRG,TWL,250,535,N
198101311,1,GSPT,1,1981,2,BRG,TWL,250,535,N
198101311,1,STRK,2,1981,2,BRG,TWL,250,535,N
198101311,1,WDOW,3,1981,2,BRG,TWL,250,535,N
198101311,1,YTRK,1,1981,2,BRG,TWL,250,535,N
198101312,1,BANK,15,1981,3,BRG,TWL,250,8240,N
198101312,1,BCAC,4,1981,3,BRG,TWL,250,8240,N
198101312,1,BRWN,2,1981,3,BRG,TWL,250,8240,N
198101312,1,CNRY,2,1981,3,BRG,TWL,250,8240,N
198101312,1,DBRK,30,1981,3,BRG,TWL,250,8240,N
198101313,1,BCAC,28,1981,3,BRG,TWL,250,2690,N
198101313,1,CLPR,9,1981,3,BRG,TWL,250,2690,N
198101314,1,BCAC,5,1981,3,BRG,TWL,250,12115,N
198101314,1,CNRY,32,1981,3,BRG,TWL,250,12115,N
198101314,1,CWCD,7,1981,3,BRG,TWL,250,12115,N
198101314,1,WDOW,4,1981,3,BRG,TWL,250,12115,N
198101315,1,YTRK,50,1981,3,BRG,TWL,250,2385,N
198101316,1,BCAC,20,1981,3,BRG,TWL,250,5435,N
198101316,1,CLPR,27,1981,3,BRG,TWL,250,5435,N
198101316,1,CNRY,4,1981,3,BRG,TWL,250,5435,N
198101317,1,BCAC,30,1981,3,BRG,TWL,250,9920,N
198101317,1,CLPR,6,1981,3,BRG,TWL,250,9920,N
198101317,1,CNRY,6,1981,3,BRG,TWL,250,9920,N
198101317,1,GSPT,2,1981,3,BRG,TWL,250,9920,N
198101317,1,WDOW,7,1981,3,BRG,TWL,250,9920,N
198101318,1,BCAC,12,1981,4,BRG,TWL,250,3760,N
198101318,1,CLPR,38,1981,4,BRG,TWL,250,3760,N
198101319,1,BANK,35,1981,4,BRG,TWL,250,59665,N
198101319,1,DBRK,15,1981,4,BRG,TWL,250,59665,N
198101320,1,BCAC,13,1981,4,BRG,TWL,250,18100,N
198101320,1,GSPT,16,1981,4,BRG,TWL,250,18100,N
198101320,1,WDOW,2,1981,4,BRG,TWL,250,18100,N
198101320,1,YTRK,19,1981,4,BRG,TWL,250,18100,N
198101321,1,BCAC,44,1981,4,BRG,TWL,250,10295,N
198101321,1,CLPR,6,1981,4,BRG,TWL,250,10295,N
198101324,1,WDOW,47,1981,4,OSF,TWL,250,12345,N
198101326,1,BCAC,13,1981,1,MRO,TWL,250,29417,N
198101326,1,CLPR,35,1981,1,MRO,TWL,250,29417,N
198101326,1,WDOW,2,1981,1,MRO,TWL,250,29417,N
198101330,1,BCAC,2,1981,1,MRO,TWL,250,6615,N
198101330,1,CLPR,26,1981,1,MRO,TWL,250,6615,N
198101330,1,WDOW,11,1981,1,MRO,TWL,250,6615,N
198101338,1,BANK,46,1981,2,MRO,TWL,250,7006,N
198101338,1,BCAC,3,1981,2,MRO,TWL,250,7006,N
198101338,1,WDOW,3,1981,2,MRO,TWL,250,7006,N
198101339,1,BCAC,38,1981,2,MRO,TWL,250,1565,N
198101339,1,CLPR,5,1981,2,MRO,TWL,250,1565,N
198101348,1,BCAC,37,1981,3,MRO,TWL,250,4350,N
198101348,1,CLPR,6,1981,3,MRO,TWL,250,4350,N
198101348,1,CWCD,1,1981,3,MRO,TWL,250,4350,N
198101348,1,VRML,7,1981,3,MRO,TWL,250,4350,N
198101349,1,BCAC,22,1981,3,MRO,TWL,250,12265,N
198101349,1,CLPR,20,1981,3,MRO,TWL,250,12265,N
198101349,1,SNOS,6,1981,3,MRO,TWL,250,12265,N
198101350,1,BCAC,50,1981,3,MRO,TWL,250,3675,N
198101351,1,BCAC,50,1981,3,MRO,TWL,250,2775,N
198101352,1,BCAC,47,1981,3,MRO,TWL,250,3685,N
198101352,1,CLPR,3,1981,3,MRO,TWL,250,3685,N
198101353,1,CNRY,3,1981,3,MRO,TWL,250,1497,N
198101353,1,VRML,47,1981,3,MRO,TWL,250,1497,N
198101374,1,BCAC,48,1981,4,BDG,TWL,250,10341,N
198101378,1,BCAC,45,1981,4,BDG,TWL,250,6130,N
198101378,1,CLPR,1,1981,4,BDG,TWL,250,6130,N
