sampleNumber,clusterNumber,species,weight,year,qtr,portComplex,gearGroup,marketCategory,landingWeight,live
198200055,1,CLPR,51,1982,1,MRO,HKL,250,2692,N
198200055,1,YTRK,23,1982,1,MRO,HKL,250,2692,N
198200056,1,BCAC,148,1982,1,MRO,HKL,250,1325,N
198200059,1,BANK,3,1982,1,MRO,HKL,250,1762,N
198200059,1,BCAC,32,1982,1,MRO,HKL,250,1762,N
198200059,1,CLPR,133,1982,1,MRO,HKL,250,1762,N
198200059,1,WDOW,10,1982,1,MRO,HKL,250,1762,N
198200059,1,YTRK,3,1982,1,MRO,HKL,250,1762,N
198200060,1,CNRY,28,1982,1,MRO,HKL,250,3053,N
198200060,1,VRML,186,1982,1,MRO,HKL,250,3053,N
198200061,1,BANK,9,1982,1,MRO,HKL,250,3572,N
198200061,1,BCAC,52,1982,1,MRO,HKL,250,3572,N
