"marginalLSPN","n","landing","coverage"
"BDG",9,0,0.222222222222222
"BRG",326,432,0.493865030674847
"CRS",50,0,0.5
"ERK",323,0,0.176470588235294
"MNT",108,0,0.175925925925926
"MRO",138,0,0.492753623188406
"OSF",29,0,0.379310344827586
"HKL",110,0,0.472727272727273
"NET",6,0,0
"TWL",867,432,0.335640138408304
"1978",124,163,0.387096774193548
"1979",102,0,0.323529411764706
"1980",271,269,0.450184501845018
"1981",237,0,0.286919831223629
"1982",249,0,0.289156626506024
"Q1",162,0,0.296296296296296
"Q2",289,0,0.332179930795848
"Q3",340,269,0.417647058823529
"Q4",192,163,0.296875
