"marginalWDOW","n","landing","coverage"
"BDG",9,13218,1
"BRG",326,635196,0.97239263803681
"CRS",50,182129,0.98
"ERK",323,15744399,0.801857585139319
"MNT",108,570494,0.916666666666667
"MRO",138,219593,0.992753623188406
"OSF",29,788477,0.96551724137931
"HKL",110,208182,1
"NET",6,10917,1
"TWL",867,17934407,0.901960784313726
"1978",124,749148,0.951612903225806
"1979",102,2751370,0.892156862745098
"1980",271,10708990,0.881918819188192
"1981",237,3288416,0.864978902953586
"1982",249,655582,0.983935742971888
"Q1",162,4011229,0.895061728395062
"Q2",289,4284190,0.878892733564014
"Q3",340,4756660,0.941176470588235
"Q4",192,5101427,0.932291666666667
