margPNKR,n,landing,coverage
BDG,1,0,0
BRG,6,0,1
MNT,92,745,0.989130434782609
MRO,66,0,0.909090909090909
OSF,63,0,1
HKL,1,0,1
NET,8,0,1
TWL,219,745,0.963470319634703
1978,57,745,0.982456140350877
1980,61,0,1
1981,42,0,0.857142857142857
1982,50,0,1
1983,18,0,0.944444444444444
Q1,45,745,0.844444444444444
Q2,79,0,1
Q3,59,0,1
Q4,45,0,0.977777777777778
