margPNKR,n,landing,coverage
BDG,1,0,0
BRG,6,0,0.5
MNT,92,745,0.456521739130435
MRO,66,0,0.424242424242424
OSF,63,0,0.476190476190476
HKL,1,0,1
NET,8,0,0.125
TWL,219,745,0.461187214611872
1978,57,745,0.421052631578947
1980,61,0,0.508196721311475
1981,42,0,0.19047619047619
1982,50,0,0.68
1983,18,0,0.333333333333333
Q1,45,745,0.555555555555556
Q2,79,0,0.468354430379747
Q3,59,0,0.593220338983051
Q4,45,0,0.133333333333333
