margSTRK,n,landing,coverage
BDG,9,0,1
BRG,326,127568,0.996932515337423
CRS,50,10870,0.92
ERK,323,14240,0.972136222910217
MNT,108,28922,0.962962962962963
MRO,138,0,1
OSF,29,4362,0.96551724137931
HKL,110,0,1
NET,6,0,1
TWL,867,185962,0.978085351787774
1978,124,25258,0.975806451612903
1979,102,67002,0.980392156862745
1980,271,65546,0.981549815498155
1981,237,6271,0.9957805907173
1982,249,21885,0.967871485943775
Q1,162,30435,0.987654320987654
Q2,289,30177,0.97923875432526
Q3,340,73936,0.970588235294118
Q4,192,51414,0.994791666666667
