"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0
"BRG",326,0,0.125766871165644
"CRS",50,0,0.12
"ERK",323,0,0.436532507739938
"MNT",108,0,0.25
"MRO",138,0,0.130434782608696
"OSF",29,0,0.379310344827586
"HKL",110,0,0.109090909090909
"NET",6,0,0.166666666666667
"TWL",867,2766,0.26643598615917
"1978",124,0,0.266129032258065
"1979",102,0,0.333333333333333
"1980",271,0,0.232472324723247
"1981",237,2766,0.0506329113924051
"1982",249,0,0.409638554216867
"Q1",162,0,0.135802469135802
"Q2",289,0,0.228373702422145
"Q3",340,0,0.267647058823529
"Q4",192,2766,0.338541666666667
