"marginalWDOW","n","landing","coverage"
"BDG",27,3072163,0
"BRG",12,118085,0
"CRS",3,669695,0
"ERK",55,896928,0
"MNT",11,118907,0.0909090909090909
"MRO",1,95985,1
"OSF",20,1013528,0
"TWL",129,5985291,0.0155038759689922
"1981",37,331497,0
"1982",92,5653794,0.0217391304347826
"Q1",33,399560,0
"Q2",13,59393,0
"Q3",37,4195026,0.027027027027027
"Q4",46,1331312,0.0217391304347826
