margQLBK,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,232,0.116564417177914
CRS,50,0,0.2
ERK,323,0,0.377708978328173
MNT,108,0,0.175925925925926
MRO,138,0,0.260869565217391
OSF,29,0,0.448275862068966
HKL,110,0,0.345454545454545
NET,6,0,0
TWL,867,232,0.239907727797001
1978,124,232,0.0564516129032258
1979,102,0,0.343137254901961
1980,271,0,0.254612546125461
1981,237,0,0.29535864978903
1982,249,0,0.261044176706827
Q1,162,232,0.271604938271605
Q2,289,0,0.179930795847751
Q3,340,0,0.270588235294118
Q4,192,0,0.302083333333333
